artist,song,duration_ms,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Montell Jordan,Get It On Tonite,0.4398969677700959,1999,0.6590909090909092,0.8191616766467067,0.4619214066306535,10,0.5233224626939421,0,0.11700739451935625,0.24691141465077998,4.680203045685279e-05,0.07239927841250751,0.887688522836667,0.2584928927548531
Backstreet Boys,Show Me the Meaning of Being Lonely,0.3286038378427897,1999,0.7613636363636364,0.6000000000000001,0.6038555237792607,6,0.7622294693151497,0,0.004349717268377559,0.2366653114487498,0.0,0.0661455201443175,0.6898063964060328,0.7158892012305083
Christina Aguilera,Come on over Baby (All I Want Is You) - Radio Version,0.24338939393122927,1999,0.7159090909090909,0.8383233532934131,0.9110263743247538,8,0.8552722601047534,1,0.18007829491083083,0.2315422598477347,1.2690355329949238e-05,0.269993986770896,0.7924911755267944,0.3903946112230827
Creed,Higher,0.5489295317745577,1999,0.7727272727272727,0.3952095808383234,0.8209935388200401,2,0.7046150805415555,1,0.028708133971291877,3.3094913342557555e-05,0.00014213197969543145,0.22188815393866504,0.42025885121403356,0.6351967752201124
Enrique Iglesias,Be With You,0.2865718612082576,1999,0.6022727272727273,0.6634730538922158,0.85912509268086,1,0.7450340942780908,0,0.021096128751631138,0.04045243512987141,0.001634517766497462,0.032230907997594704,0.5389881270724142,0.4109008698419434
Marc Anthony,You Sang To Me,0.6307652514104961,1999,0.625,0.5377245508982036,0.8887829679059421,10,0.7458246862338176,1,0.01391909525880819,0.010533813779943212,2.700507614213198e-06,0.2339146121467228,0.7518451171248262,0.7025100774371487
Madison Avenue,Don't Call Me Baby,0.3102283198525647,1999,0.625,0.813173652694611,0.9819934328990573,3,0.6881114734657575,0,0.01718138321009134,0.0599200312137288,0.00699492385786802,0.3950691521346963,0.9871644026099048,0.4308104381033203
Britney Spears,Born to Make You Happy,0.35170256448944615,1999,0.6477272727272727,0.6035928143712574,0.9184408431310243,11,0.7743848206344501,0,0.04828186167899087,0.11883512462540247,0.0004720812182741117,0.059530968129885745,0.6930152957535566,0.1597207489126976
Mariah Carey,Thank God I Found You (feat. Joe & 98°),0.388957445318015,1999,0.6590909090909092,0.2622754491017964,0.5053490096388095,10,0.7229963435122049,1,0.0215311004784689,0.6065496370420401,0.0,0.10162357185808778,0.11755267943095518,0.45930571761960337
Crazy Town,Butterfly,0.2794937841173015,1999,0.7954545454545455,0.7269461077844313,0.8008685520601632,9,0.8075896827749778,0,0.12570682905611136,0.001332813104520089,0.00014416243654822336,0.10282621767889356,0.6106535458337791,0.28828763127187873
